order_value_gbp,restaurant_id,number_of_items,prep_time_seconds,city,type_of_food,day,hour,average_prep_resteraunt,min_prep_restauraunt,max_prep_restauraunt
66.7,16,5,1413,London,thai,Tuesday,21,1148.1702127659576,0,5622
16.5,16,3,939,London,thai,Tuesday,22,1148.1702127659576,0,5622
24.3,16,3,786,London,thai,Tuesday,22,1148.1702127659576,0,5622
23.3,16,3,1031,London,thai,Tuesday,22,1148.1702127659576,0,5622
45.8,16,4,1597,London,thai,Wednesday,18,1148.1702127659576,0,5622
15.0,16,2,1051,London,thai,Wednesday,20,1148.1702127659576,0,5622
26.3,16,3,462,London,thai,Friday,19,1148.1702127659576,0,5622
24.8,16,4,643,London,thai,Friday,20,1148.1702127659576,0,5622
27.2,16,4,612,London,thai,Friday,21,1148.1702127659576,0,5622
17.8,16,2,511,London,thai,Friday,21,1148.1702127659576,0,5622
16.4,16,2,405,London,thai,Friday,22,1148.1702127659576,0,5622
23.8,16,4,1427,London,thai,Saturday,13,1148.1702127659576,0,5622
29.2,16,4,710,London,thai,Saturday,18,1148.1702127659576,0,5622
22.7,16,3,693,London,thai,Saturday,18,1148.1702127659576,0,5622
50.3,16,7,739,London,thai,Saturday,20,1148.1702127659576,0,5622
30.4,16,3,739,London,thai,Saturday,21,1148.1702127659576,0,5622
30.8,16,4,811,London,thai,Saturday,21,1148.1702127659576,0,5622
35.8,16,6,784,London,thai,Saturday,22,1148.1702127659576,0,5622
22.4,16,2,713,London,thai,Saturday,23,1148.1702127659576,0,5622
27.0,16,4,5029,London,thai,Sunday,12,1148.1702127659576,0,5622
22.9,16,3,2728,London,thai,Sunday,12,1148.1702127659576,0,5622
16.7,16,3,0,London,thai,Sunday,13,1148.1702127659576,0,5622
24.2,16,4,228,London,thai,Sunday,13,1148.1702127659576,0,5622
24.2,16,4,607,London,thai,Sunday,19,1148.1702127659576,0,5622
37.8,16,5,1305,London,thai,Sunday,20,1148.1702127659576,0,5622
15.5,16,3,1027,London,thai,Monday,19,1148.1702127659576,0,5622
17.8,16,2,526,London,thai,Tuesday,18,1148.1702127659576,0,5622
35.4,16,3,1512,London,thai,Tuesday,19,1148.1702127659576,0,5622
38.5,16,5,1149,London,thai,Tuesday,20,1148.1702127659576,0,5622
20.9,16,3,886,London,thai,Tuesday,21,1148.1702127659576,0,5622
55.7,16,6,3087,London,thai,Wednesday,13,1148.1702127659576,0,5622
18.8,16,2,1507,London,thai,Wednesday,15,1148.1702127659576,0,5622
25.8,16,4,744,London,thai,Wednesday,18,1148.1702127659576,0,5622
36.9,16,4,803,London,thai,Wednesday,19,1148.1702127659576,0,5622
23.8,16,4,1089,London,thai,Wednesday,20,1148.1702127659576,0,5622
33.5,16,5,1483,London,thai,Wednesday,21,1148.1702127659576,0,5622
37.8,16,6,1361,London,thai,Wednesday,21,1148.1702127659576,0,5622
27.2,16,4,1177,London,thai,Thursday,13,1148.1702127659576,0,5622
27.4,16,3,475,London,thai,Thursday,14,1148.1702127659576,0,5622
15.0,16,2,1740,London,thai,Thursday,19,1148.1702127659576,0,5622
100.9,16,10,1827,London,thai,Thursday,20,1148.1702127659576,0,5622
16.4,16,3,1648,London,thai,Thursday,21,1148.1702127659576,0,5622
24.6,16,4,761,London,thai,Friday,20,1148.1702127659576,0,5622
23.8,16,4,1481,London,thai,Friday,21,1148.1702127659576,0,5622
34.9,16,5,2545,London,thai,Friday,23,1148.1702127659576,0,5622
44.1,16,6,1067,London,thai,Friday,23,1148.1702127659576,0,5622
17.0,16,2,1155,London,thai,Saturday,18,1148.1702127659576,0,5622
20.1,16,3,730,London,thai,Saturday,20,1148.1702127659576,0,5622
28.0,16,4,709,London,thai,Saturday,20,1148.1702127659576,0,5622
60.6,16,9,1003,London,thai,Saturday,20,1148.1702127659576,0,5622
20.3,16,4,501,London,thai,Saturday,21,1148.1702127659576,0,5622
27.6,16,4,612,London,thai,Saturday,23,1148.1702127659576,0,5622
12.4,16,2,446,London,thai,Sunday,16,1148.1702127659576,0,5622
17.8,16,2,1166,London,thai,Sunday,18,1148.1702127659576,0,5622
29.2,16,4,1217,London,thai,Sunday,19,1148.1702127659576,0,5622
25.8,16,4,694,London,thai,Sunday,20,1148.1702127659576,0,5622
16.8,16,2,653,London,thai,Sunday,21,1148.1702127659576,0,5622
18.0,16,4,835,London,thai,Sunday,22,1148.1702127659576,0,5622
16.4,16,2,3292,London,thai,Monday,12,1148.1702127659576,0,5622
20.3,16,3,1777,London,thai,Monday,18,1148.1702127659576,0,5622
30.2,16,4,1310,London,thai,Monday,21,1148.1702127659576,0,5622
15.4,16,3,864,London,thai,Monday,21,1148.1702127659576,0,5622
31.2,16,4,1031,London,thai,Monday,21,1148.1702127659576,0,5622
77.9,16,7,800,London,thai,Tuesday,14,1148.1702127659576,0,5622
46.6,16,5,3251,London,thai,Tuesday,16,1148.1702127659576,0,5622
32.0,16,4,759,London,thai,Tuesday,18,1148.1702127659576,0,5622
41.8,16,6,2527,London,thai,Tuesday,18,1148.1702127659576,0,5622
35.7,16,5,864,London,thai,Tuesday,19,1148.1702127659576,0,5622
22.8,16,4,992,London,thai,Tuesday,20,1148.1702127659576,0,5622
20.4,16,2,884,London,thai,Tuesday,20,1148.1702127659576,0,5622
225.8,16,22,1035,London,thai,Tuesday,20,1148.1702127659576,0,5622
39.7,16,5,1224,London,thai,Tuesday,20,1148.1702127659576,0,5622
20.4,16,3,506,London,thai,Tuesday,21,1148.1702127659576,0,5622
15.0,16,2,745,London,thai,Tuesday,21,1148.1702127659576,0,5622
23.3,16,3,701,London,thai,Wednesday,15,1148.1702127659576,0,5622
15.0,16,2,810,London,thai,Wednesday,15,1148.1702127659576,0,5622
17.0,16,2,1292,London,thai,Wednesday,18,1148.1702127659576,0,5622
34.3,16,5,3219,London,thai,Wednesday,19,1148.1702127659576,0,5622
25.6,16,3,560,London,thai,Wednesday,19,1148.1702127659576,0,5622
15.0,16,3,493,London,thai,Wednesday,19,1148.1702127659576,0,5622
24.9,16,3,825,London,thai,Wednesday,21,1148.1702127659576,0,5622
32.3,16,5,516,London,thai,Wednesday,21,1148.1702127659576,0,5622
27.2,16,4,474,London,thai,Wednesday,23,1148.1702127659576,0,5622
35.3,16,4,708,London,thai,Wednesday,23,1148.1702127659576,0,5622
23.8,16,3,2151,London,thai,Thursday,13,1148.1702127659576,0,5622
19.9,16,3,978,London,thai,Thursday,18,1148.1702127659576,0,5622
19.3,16,3,537,London,thai,Thursday,19,1148.1702127659576,0,5622
16.4,16,2,406,London,thai,Thursday,19,1148.1702127659576,0,5622
26.9,16,3,654,London,thai,Thursday,20,1148.1702127659576,0,5622
140.2,16,14,5016,London,thai,Friday,12,1148.1702127659576,0,5622
15.4,16,2,5622,London,thai,Friday,20,1148.1702127659576,0,5622
77.0,16,10,1853,London,thai,Friday,21,1148.1702127659576,0,5622
21.3,16,3,1842,London,thai,Friday,23,1148.1702127659576,0,5622
21.1,16,3,512,London,thai,Saturday,17,1148.1702127659576,0,5622
29.8,16,4,915,London,thai,Saturday,19,1148.1702127659576,0,5622
17.9,16,3,308,London,thai,Saturday,21,1148.1702127659576,0,5622
27.8,16,4,878,London,thai,Sunday,17,1148.1702127659576,0,5622
21.3,16,3,773,London,thai,Sunday,18,1148.1702127659576,0,5622
31.8,16,6,562,London,thai,Sunday,20,1148.1702127659576,0,5622
18.9,16,3,903,London,thai,Sunday,21,1148.1702127659576,0,5622
39.3,16,6,806,London,thai,Sunday,21,1148.1702127659576,0,5622
19.0,16,2,886,London,thai,Sunday,21,1148.1702127659576,0,5622
28.9,16,5,1190,London,thai,Sunday,21,1148.1702127659576,0,5622
18.4,16,2,1651,London,thai,Sunday,22,1148.1702127659576,0,5622
45.0,16,5,1212,London,thai,Monday,14,1148.1702127659576,0,5622
15.5,16,3,865,London,thai,Monday,18,1148.1702127659576,0,5622
22.9,16,3,706,London,thai,Monday,19,1148.1702127659576,0,5622
142.6,16,13,2102,London,thai,Monday,20,1148.1702127659576,0,5622
17.5,16,2,1546,London,thai,Monday,20,1148.1702127659576,0,5622
36.8,16,7,999,London,thai,Monday,21,1148.1702127659576,0,5622
16.4,16,2,573,London,thai,Monday,21,1148.1702127659576,0,5622
17.8,16,1,771,London,thai,Monday,21,1148.1702127659576,0,5622
34.7,16,5,578,London,thai,Monday,23,1148.1702127659576,0,5622
21.9,16,3,1435,London,thai,Tuesday,13,1148.1702127659576,0,5622
11.4,16,2,483,London,thai,Tuesday,20,1148.1702127659576,0,5622
18.3,16,3,660,London,thai,Tuesday,20,1148.1702127659576,0,5622
29.9,16,4,1584,London,thai,Tuesday,20,1148.1702127659576,0,5622
44.2,16,7,1095,London,thai,Tuesday,20,1148.1702127659576,0,5622
40.7,16,6,947,London,thai,Tuesday,21,1148.1702127659576,0,5622
18.8,16,2,851,London,thai,Tuesday,21,1148.1702127659576,0,5622
53.7,16,8,1139,London,thai,Tuesday,22,1148.1702127659576,0,5622
28.4,16,4,405,London,thai,Tuesday,23,1148.1702127659576,0,5622
16.4,16,2,773,London,thai,Wednesday,13,1148.1702127659576,0,5622
12.8,16,2,1268,London,thai,Wednesday,15,1148.1702127659576,0,5622
18.5,16,4,397,London,thai,Wednesday,17,1148.1702127659576,0,5622
31.4,16,4,783,London,thai,Wednesday,20,1148.1702127659576,0,5622
29.8,16,4,1095,London,thai,Wednesday,21,1148.1702127659576,0,5622
41.4,16,6,1342,London,thai,Wednesday,21,1148.1702127659576,0,5622
17.8,16,2,762,London,thai,Wednesday,23,1148.1702127659576,0,5622
21.9,16,3,780,London,thai,Thursday,19,1148.1702127659576,0,5622
15.4,16,2,565,London,thai,Thursday,19,1148.1702127659576,0,5622
44.2,16,6,2488,London,thai,Thursday,19,1148.1702127659576,0,5622
17.5,16,3,996,London,thai,Thursday,20,1148.1702127659576,0,5622
69.0,16,8,1137,London,thai,Thursday,21,1148.1702127659576,0,5622
15.3,16,3,1344,London,thai,Thursday,22,1148.1702127659576,0,5622
30.8,16,4,1733,London,thai,Thursday,22,1148.1702127659576,0,5622
88.0,16,11,869,London,thai,Friday,13,1148.1702127659576,0,5622
16.4,16,2,919,London,thai,Friday,13,1148.1702127659576,0,5622
24.9,16,3,1285,London,thai,Friday,13,1148.1702127659576,0,5622
16.4,16,2,405,London,thai,Friday,17,1148.1702127659576,0,5622
26.2,16,4,933,London,thai,Friday,19,1148.1702127659576,0,5622
22.7,16,3,574,London,thai,Friday,19,1148.1702127659576,0,5622
26.8,16,4,897,London,thai,Friday,20,1148.1702127659576,0,5622
25.4,16,4,495,London,thai,Friday,20,1148.1702127659576,0,5622
28.8,16,4,1273,London,thai,Friday,20,1148.1702127659576,0,5622
38.8,16,6,706,London,thai,Friday,20,1148.1702127659576,0,5622
30.3,16,4,499,London,thai,Friday,21,1148.1702127659576,0,5622
21.9,16,3,569,London,thai,Friday,21,1148.1702127659576,0,5622
17.8,16,1,995,London,thai,Friday,22,1148.1702127659576,0,5622
28.4,16,4,802,London,thai,Saturday,22,1148.1702127659576,0,5622
33.3,16,4,715,London,thai,Saturday,23,1148.1702127659576,0,5622
49.1,16,7,1678,London,thai,Sunday,17,1148.1702127659576,0,5622
17.7,16,2,1554,London,thai,Sunday,20,1148.1702127659576,0,5622
20.9,16,3,937,London,thai,Sunday,20,1148.1702127659576,0,5622
37.9,16,4,826,London,thai,Sunday,20,1148.1702127659576,0,5622
31.9,16,4,869,London,thai,Monday,13,1148.1702127659576,0,5622
16.0,16,2,996,London,thai,Monday,14,1148.1702127659576,0,5622
16.4,16,2,894,London,thai,Monday,14,1148.1702127659576,0,5622
40.1,16,5,834,London,thai,Monday,19,1148.1702127659576,0,5622
35.9,16,5,834,London,thai,Monday,19,1148.1702127659576,0,5622
28.4,16,4,757,London,thai,Monday,20,1148.1702127659576,0,5622
29.0,16,4,3337,London,thai,Monday,20,1148.1702127659576,0,5622
87.5,16,11,1474,London,thai,Monday,21,1148.1702127659576,0,5622
19.0,16,2,707,London,thai,Monday,21,1148.1702127659576,0,5622
19.5,16,3,626,London,thai,Monday,22,1148.1702127659576,0,5622
25.3,16,3,1003,London,thai,Monday,22,1148.1702127659576,0,5622
28.4,16,4,1995,London,thai,Tuesday,13,1148.1702127659576,0,5622
17.0,16,2,689,London,thai,Tuesday,15,1148.1702127659576,0,5622
415.1,16,20,4898,London,thai,Tuesday,18,1148.1702127659576,0,5622
20.3,16,3,1560,London,thai,Tuesday,19,1148.1702127659576,0,5622
21.3,16,3,966,London,thai,Tuesday,19,1148.1702127659576,0,5622
48.3,16,7,870,London,thai,Tuesday,20,1148.1702127659576,0,5622
29.9,16,4,1238,London,thai,Tuesday,22,1148.1702127659576,0,5622
42.6,16,6,1907,London,thai,Tuesday,22,1148.1702127659576,0,5622
34.9,2734,5,1795,London,japanese,Monday,13,1317.9807692307693,136,4337
31.0,2734,7,2172,London,japanese,Monday,22,1317.9807692307693,136,4337
27.1,2734,5,714,London,japanese,Tuesday,19,1317.9807692307693,136,4337
27.3,2734,4,1207,London,japanese,Wednesday,21,1317.9807692307693,136,4337
20.6,2734,6,1640,London,japanese,Wednesday,21,1317.9807692307693,136,4337
16.0,2734,3,885,London,japanese,Thursday,14,1317.9807692307693,136,4337
28.9,2734,6,1519,London,japanese,Friday,15,1317.9807692307693,136,4337
31.8,2734,5,1237,London,japanese,Friday,15,1317.9807692307693,136,4337
31.7,2734,6,1287,London,japanese,Friday,18,1317.9807692307693,136,4337
50.7,2734,7,2177,London,japanese,Saturday,13,1317.9807692307693,136,4337
15.6,2734,3,1262,London,japanese,Saturday,17,1317.9807692307693,136,4337
18.8,2734,4,1131,London,japanese,Saturday,20,1317.9807692307693,136,4337
16.9,2734,4,1599,London,japanese,Saturday,21,1317.9807692307693,136,4337
47.2,2734,7,1488,London,japanese,Saturday,22,1317.9807692307693,136,4337
20.8,2734,3,2279,London,japanese,Sunday,18,1317.9807692307693,136,4337
16.2,2734,4,2510,London,japanese,Monday,13,1317.9807692307693,136,4337
14.7,2734,4,1333,London,japanese,Monday,16,1317.9807692307693,136,4337
17.3,2734,5,1193,London,japanese,Monday,20,1317.9807692307693,136,4337
24.0,2734,4,1091,London,japanese,Tuesday,13,1317.9807692307693,136,4337
33.0,2734,7,549,London,japanese,Tuesday,20,1317.9807692307693,136,4337
24.0,2734,4,744,London,japanese,Wednesday,16,1317.9807692307693,136,4337
29.4,2734,5,1267,London,japanese,Thursday,17,1317.9807692307693,136,4337
41.5,2734,9,4337,London,japanese,Thursday,18,1317.9807692307693,136,4337
17.8,2734,3,1091,London,japanese,Thursday,23,1317.9807692307693,136,4337
31.2,2734,6,734,London,japanese,Friday,15,1317.9807692307693,136,4337
24.5,2734,5,895,London,japanese,Friday,19,1317.9807692307693,136,4337
26.6,2734,4,1294,London,japanese,Friday,20,1317.9807692307693,136,4337
44.8,2734,7,1293,London,japanese,Friday,20,1317.9807692307693,136,4337
35.9,2734,4,1887,London,japanese,Friday,22,1317.9807692307693,136,4337
21.9,2734,5,1303,London,japanese,Saturday,14,1317.9807692307693,136,4337
16.5,2734,4,136,London,japanese,Saturday,18,1317.9807692307693,136,4337
19.7,2734,5,815,London,japanese,Sunday,15,1317.9807692307693,136,4337
32.1,2734,6,1071,London,japanese,Sunday,16,1317.9807692307693,136,4337
30.6,2734,6,724,London,japanese,Sunday,19,1317.9807692307693,136,4337
37.7,2734,10,1529,London,japanese,Sunday,21,1317.9807692307693,136,4337
24.0,2734,4,1112,London,japanese,Sunday,22,1317.9807692307693,136,4337
19.1,2734,3,1228,London,japanese,Monday,21,1317.9807692307693,136,4337
39.7,2734,6,1046,London,japanese,Tuesday,22,1317.9807692307693,136,4337
37.5,2734,6,1605,London,japanese,Thursday,20,1317.9807692307693,136,4337
40.9,2734,8,1217,London,japanese,Thursday,22,1317.9807692307693,136,4337
14.0,2734,3,1705,London,japanese,Friday,14,1317.9807692307693,136,4337
36.6,2734,6,1448,London,japanese,Saturday,20,1317.9807692307693,136,4337
22.0,2734,6,1197,London,japanese,Sunday,14,1317.9807692307693,136,4337
37.8,2734,4,1257,London,japanese,Sunday,20,1317.9807692307693,136,4337
30.1,2734,7,1092,London,japanese,Sunday,20,1317.9807692307693,136,4337
16.5,2734,4,764,London,japanese,Tuesday,20,1317.9807692307693,136,4337
15.1,2734,4,3381,London,japanese,Thursday,22,1317.9807692307693,136,4337
18.0,2734,1,353,London,japanese,Friday,20,1317.9807692307693,136,4337
17.0,2734,3,291,London,japanese,Friday,23,1317.9807692307693,136,4337
52.5,2734,7,1574,London,japanese,Saturday,16,1317.9807692307693,136,4337
13.2,2734,3,327,London,japanese,Tuesday,20,1317.9807692307693,136,4337
11.5,2734,3,750,London,japanese,Tuesday,21,1317.9807692307693,136,4337
18.6,2470,4,2770,London,burgers,Monday,12,305.5769230769231,5,3500
16.0,2470,9,86,London,burgers,Monday,21,305.5769230769231,5,3500
40.4,2470,6,65,London,burgers,Tuesday,20,305.5769230769231,5,3500
17.0,2470,9,981,London,burgers,Tuesday,20,305.5769230769231,5,3500
15.5,2470,9,287,London,burgers,Wednesday,21,305.5769230769231,5,3500
22.0,2470,4,15,London,burgers,Wednesday,22,305.5769230769231,5,3500
16.0,2470,3,387,London,burgers,Thursday,19,305.5769230769231,5,3500
16.3,2470,8,3500,London,burgers,Friday,18,305.5769230769231,5,3500
38.6,2470,6,453,London,burgers,Friday,19,305.5769230769231,5,3500
18.6,2470,4,211,London,burgers,Friday,22,305.5769230769231,5,3500
15.8,2470,10,409,London,burgers,Saturday,16,305.5769230769231,5,3500
25.0,2470,11,392,London,burgers,Saturday,21,305.5769230769231,5,3500
22.0,2470,4,85,London,burgers,Monday,19,305.5769230769231,5,3500
15.8,2470,3,60,London,burgers,Monday,20,305.5769230769231,5,3500
12.0,2470,6,146,London,burgers,Monday,20,305.5769230769231,5,3500
16.5,2470,4,30,London,burgers,Monday,21,305.5769230769231,5,3500
22.8,2470,5,75,London,burgers,Tuesday,19,305.5769230769231,5,3500
28.8,2470,5,65,London,burgers,Tuesday,19,305.5769230769231,5,3500
16.0,2470,4,95,London,burgers,Tuesday,21,305.5769230769231,5,3500
30.25,2470,5,20,London,burgers,Tuesday,22,305.5769230769231,5,3500
23.0,2470,9,279,London,burgers,Thursday,20,305.5769230769231,5,3500
15.0,2470,3,5,London,burgers,Friday,20,305.5769230769231,5,3500
44.1,2470,17,511,London,burgers,Saturday,13,305.5769230769231,5,3500
15.8,2470,10,297,London,burgers,Saturday,14,305.5769230769231,5,3500
15.0,2470,7,30,London,burgers,Monday,20,305.5769230769231,5,3500
19.0,2470,5,15,London,burgers,Tuesday,19,305.5769230769231,5,3500
34.6,2470,8,35,London,burgers,Tuesday,20,305.5769230769231,5,3500
23.0,2470,3,81,London,burgers,Wednesday,20,305.5769230769231,5,3500
15.0,2470,8,80,London,burgers,Wednesday,20,305.5769230769231,5,3500
33.8,2470,7,71,London,burgers,Thursday,21,305.5769230769231,5,3500
24.0,2470,4,5,London,burgers,Thursday,21,305.5769230769231,5,3500
23.0,2470,5,35,London,burgers,Friday,21,305.5769230769231,5,3500
40.6,2470,4,25,London,burgers,Friday,21,305.5769230769231,5,3500
17.6,2470,3,65,London,burgers,Saturday,22,305.5769230769231,5,3500
16.0,2470,5,10,London,burgers,Monday,15,305.5769230769231,5,3500
15.8,2470,3,186,London,burgers,Monday,20,305.5769230769231,5,3500
39.5,2470,11,55,London,burgers,Monday,22,305.5769230769231,5,3500
19.0,2470,4,112,London,burgers,Monday,22,305.5769230769231,5,3500
15.0,2470,4,25,London,burgers,Tuesday,13,305.5769230769231,5,3500
61.0,2470,16,1203,London,burgers,Tuesday,14,305.5769230769231,5,3500
16.0,2470,3,131,London,burgers,Tuesday,19,305.5769230769231,5,3500
45.8,2470,14,197,London,burgers,Tuesday,19,305.5769230769231,5,3500
15.0,2470,9,685,London,burgers,Tuesday,20,305.5769230769231,5,3500
17.0,2470,4,171,London,burgers,Tuesday,21,305.5769230769231,5,3500
24.5,2470,9,166,London,burgers,Tuesday,21,305.5769230769231,5,3500
25.5,2470,13,41,London,burgers,Tuesday,22,305.5769230769231,5,3500
17.3,2470,10,11,London,burgers,Thursday,20,305.5769230769231,5,3500
27.6,2470,12,281,London,burgers,Saturday,21,305.5769230769231,5,3500
12.0,2470,2,367,London,burgers,Saturday,21,305.5769230769231,5,3500
59.2,2470,8,136,London,burgers,Monday,21,305.5769230769231,5,3500
16.0,2470,5,301,London,burgers,Tuesday,20,305.5769230769231,5,3500
16.0,2470,9,146,London,burgers,Tuesday,21,305.5769230769231,5,3500
66.86,137,4,4226,London,japanese,Monday,12,1495.2015503875969,0,5334
36.74,137,6,1405,London,japanese,Monday,15,1495.2015503875969,0,5334
60.95,137,11,1415,London,japanese,Monday,19,1495.2015503875969,0,5334
28.35,137,4,672,London,japanese,Monday,20,1495.2015503875969,0,5334
28.55,137,4,1058,London,japanese,Monday,20,1495.2015503875969,0,5334
40.71,137,7,1790,London,japanese,Monday,21,1495.2015503875969,0,5334
36.32,137,7,1031,London,japanese,Monday,22,1495.2015503875969,0,5334
53.31,137,7,2438,London,japanese,Monday,22,1495.2015503875969,0,5334
17.86,137,4,844,London,japanese,Monday,22,1495.2015503875969,0,5334
20.16,137,4,807,London,japanese,Tuesday,17,1495.2015503875969,0,5334
18.57,137,3,1193,London,japanese,Tuesday,18,1495.2015503875969,0,5334
48.41,137,9,1218,London,japanese,Tuesday,19,1495.2015503875969,0,5334
33.34,137,6,1583,London,japanese,Tuesday,20,1495.2015503875969,0,5334
15.17,137,3,734,London,japanese,Tuesday,23,1495.2015503875969,0,5334
16.07,137,3,703,London,japanese,Wednesday,15,1495.2015503875969,0,5334
23.85,137,5,1247,London,japanese,Wednesday,18,1495.2015503875969,0,5334
15.07,137,3,925,London,japanese,Wednesday,18,1495.2015503875969,0,5334
15.98,137,2,0,London,japanese,Wednesday,20,1495.2015503875969,0,5334
16.17,137,3,578,London,japanese,Wednesday,21,1495.2015503875969,0,5334
17.46,137,4,3735,London,japanese,Thursday,12,1495.2015503875969,0,5334
15.07,137,3,607,London,japanese,Thursday,19,1495.2015503875969,0,5334
23.86,137,4,4565,London,japanese,Friday,12,1495.2015503875969,0,5334
15.57,137,3,795,London,japanese,Friday,19,1495.2015503875969,0,5334
43.71,137,8,989,London,japanese,Friday,21,1495.2015503875969,0,5334
28.35,137,4,827,London,japanese,Friday,23,1495.2015503875969,0,5334
18.45,137,4,1771,London,japanese,Saturday,14,1495.2015503875969,0,5334
15.58,137,2,628,London,japanese,Saturday,22,1495.2015503875969,0,5334
25.66,137,4,1045,London,japanese,Saturday,22,1495.2015503875969,0,5334
27.35,137,5,1395,London,japanese,Saturday,22,1495.2015503875969,0,5334
29.34,137,6,3584,London,japanese,Sunday,19,1495.2015503875969,0,5334
44.97,137,3,2987,London,japanese,Sunday,19,1495.2015503875969,0,5334
25.96,137,4,2664,London,japanese,Sunday,20,1495.2015503875969,0,5334
34.52,137,7,1338,London,japanese,Sunday,21,1495.2015503875969,0,5334
21.16,137,4,1340,London,japanese,Sunday,21,1495.2015503875969,0,5334
41.3,137,7,1448,London,japanese,Sunday,21,1495.2015503875969,0,5334
18.46,137,4,782,London,japanese,Sunday,22,1495.2015503875969,0,5334
17.87,137,3,894,London,japanese,Sunday,22,1495.2015503875969,0,5334
27.14,137,5,671,London,japanese,Sunday,23,1495.2015503875969,0,5334
33.04,137,6,1277,London,japanese,Sunday,23,1495.2015503875969,0,5334
21.66,137,4,1162,London,japanese,Monday,19,1495.2015503875969,0,5334
16.37,137,3,1730,London,japanese,Monday,20,1495.2015503875969,0,5334
20.17,137,3,1464,London,japanese,Monday,20,1495.2015503875969,0,5334
18.46,137,4,1259,London,japanese,Monday,20,1495.2015503875969,0,5334
16.66,137,3,2323,London,japanese,Tuesday,12,1495.2015503875969,0,5334
20.16,137,3,2058,London,japanese,Tuesday,21,1495.2015503875969,0,5334
15.17,137,3,917,London,japanese,Wednesday,19,1495.2015503875969,0,5334
28.94,137,6,811,London,japanese,Wednesday,19,1495.2015503875969,0,5334
34.93,137,7,5334,London,japanese,Wednesday,19,1495.2015503875969,0,5334
17.36,137,4,535,London,japanese,Wednesday,20,1495.2015503875969,0,5334
32.53,137,7,856,London,japanese,Wednesday,21,1495.2015503875969,0,5334
18.47,137,3,995,London,japanese,Wednesday,21,1495.2015503875969,0,5334
19.76,137,4,813,London,japanese,Thursday,14,1495.2015503875969,0,5334
36.63,137,6,2847,London,japanese,Thursday,20,1495.2015503875969,0,5334
19.05,137,2,3507,London,japanese,Thursday,21,1495.2015503875969,0,5334
20.36,137,4,1420,London,japanese,Friday,19,1495.2015503875969,0,5334
31.73,137,7,3261,London,japanese,Friday,19,1495.2015503875969,0,5334
18.86,137,4,4476,London,japanese,Friday,19,1495.2015503875969,0,5334
19.36,137,3,780,London,japanese,Friday,23,1495.2015503875969,0,5334
15.07,137,3,598,London,japanese,Saturday,16,1495.2015503875969,0,5334
25.24,137,5,1667,London,japanese,Saturday,16,1495.2015503875969,0,5334
26.73,137,5,1044,London,japanese,Saturday,18,1495.2015503875969,0,5334
33.44,137,6,1117,London,japanese,Saturday,19,1495.2015503875969,0,5334
12.87,137,3,1088,London,japanese,Sunday,19,1495.2015503875969,0,5334
19.57,137,3,4519,London,japanese,Sunday,20,1495.2015503875969,0,5334
30.04,137,6,1671,London,japanese,Sunday,20,1495.2015503875969,0,5334
60.49,137,10,3398,London,japanese,Sunday,20,1495.2015503875969,0,5334
45.57,137,3,1267,London,japanese,Sunday,22,1495.2015503875969,0,5334
41.63,137,7,2157,London,japanese,Monday,13,1495.2015503875969,0,5334
19.76,137,4,1399,London,japanese,Monday,15,1495.2015503875969,0,5334
16.77,137,3,883,London,japanese,Monday,15,1495.2015503875969,0,5334
33.75,137,5,798,London,japanese,Monday,18,1495.2015503875969,0,5334
42.72,137,8,1974,London,japanese,Monday,21,1495.2015503875969,0,5334
16.07,137,3,1846,London,japanese,Monday,21,1495.2015503875969,0,5334
15.06,137,4,710,London,japanese,Tuesday,14,1495.2015503875969,0,5334
18.55,137,3,575,London,japanese,Tuesday,14,1495.2015503875969,0,5334
23.85,137,5,0,London,japanese,Tuesday,20,1495.2015503875969,0,5334
28.44,137,5,1278,London,japanese,Wednesday,20,1495.2015503875969,0,5334
34.63,137,7,1603,London,japanese,Wednesday,20,1495.2015503875969,0,5334
18.36,137,4,1213,London,japanese,Wednesday,21,1495.2015503875969,0,5334
44.62,137,8,2000,London,japanese,Wednesday,21,1495.2015503875969,0,5334
33.34,137,5,2327,London,japanese,Wednesday,21,1495.2015503875969,0,5334
36.32,137,6,1837,London,japanese,Wednesday,21,1495.2015503875969,0,5334
33.94,137,6,1105,London,japanese,Thursday,15,1495.2015503875969,0,5334
16.76,137,3,1226,London,japanese,Thursday,15,1495.2015503875969,0,5334
59.98,137,8,1133,London,japanese,Thursday,19,1495.2015503875969,0,5334
40.72,137,7,61,London,japanese,Thursday,21,1495.2015503875969,0,5334
32.84,137,6,964,London,japanese,Friday,17,1495.2015503875969,0,5334
31.74,137,5,1599,London,japanese,Friday,21,1495.2015503875969,0,5334
83.75,137,12,2054,London,japanese,Friday,23,1495.2015503875969,0,5334
38.29,137,8,1652,London,japanese,Saturday,13,1495.2015503875969,0,5334
25.56,137,4,1187,London,japanese,Sunday,19,1495.2015503875969,0,5334
22.05,137,5,1392,London,japanese,Sunday,21,1495.2015503875969,0,5334
24.06,137,4,777,London,japanese,Sunday,23,1495.2015503875969,0,5334
17.16,137,3,483,London,japanese,Monday,18,1495.2015503875969,0,5334
31.54,137,6,1300,London,japanese,Monday,19,1495.2015503875969,0,5334
15.87,137,3,439,London,japanese,Monday,20,1495.2015503875969,0,5334
